"NATMON_IND","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","PER","Peru","2019","2019",1.24806,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","MNG","Mongolia","2019","2019",1.83725,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","HUN","Hungary","2019","2019",1.56465,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","CMR","Cameroon","2019","2019",0.28186,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","ZAF","South Africa","2019","2019",1.03055,,
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","CRI","Costa Rica","2019","2019",,"a","Category not applicable"
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","SGP","Singapore","2019","2019",0.68852,,
"XGDP_3_FSGOV","Government expenditure on upper secondary education as a percentage of GDP (%)","MEX","Mexico","2019","2019",0.67029,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","URY","Uruguay","2019","2019",1.06914,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","LTU","Lithuania","2019","2019",0.70021,,
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","TCA","Turks and Caicos Islands","2019","2019",,"a","Category not applicable"
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","MMR","Myanmar","2019","2019",0.76752,,
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","SLE","Sierra Leone","2019","2019",0.06175,,
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","GBR","United Kingdom of Great Britain and Northern Ireland","2019","2019",,"a","Category not applicable"
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","LVA","Latvia","2019","2019",0.05616,,
"XGDP_3_FSGOV","Government expenditure on upper secondary education as a percentage of GDP (%)","SVK","Slovakia","2019","2019",0.83325,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","DEU","Germany","2019","2019",1.27805,,
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","AND","Andorra","2019","2019",0.00659,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","JOR","Jordan","2019","2019",1.40512,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","CZE","Czechia","2019","2019",2.07251,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","CHL","Chile","2019","2019",1.44074,,
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","ISL","Iceland","2019","2019",0.06505,,
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","NOR","Norway","2019","2019",0.039,,
"XGDP_2_FSGOV","Government expenditure on lower secondary education as a percentage of GDP (%)","SVN","Slovenia","2019","2019",0.7548,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","IRL","Ireland","2019","2019",1.13632,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","CIV","Côte d'Ivoire","2019","2019",1.43578,,
"XGDP_3_FSGOV","Government expenditure on upper secondary education as a percentage of GDP (%)","LKA","Sri Lanka","2019","2019",0.37167,,
"XGDP_2_FSGOV","Government expenditure on lower secondary education as a percentage of GDP (%)","MDV","Maldives","2019","2019",0.6478,,
"XGDP_2_FSGOV","Government expenditure on lower secondary education as a percentage of GDP (%)","PRT","Portugal","2019","2019",1.04952,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","LAO","Lao People's Democratic Republic","2019","2019",0.828,,
"XGDP_2_FSGOV","Government expenditure on lower secondary education as a percentage of GDP (%)","LUX","Luxembourg","2019","2019",0.7669,,
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","SMR","San Marino","2019","2019",,"a","Category not applicable"
"XGDP_3_FSGOV","Government expenditure on upper secondary education as a percentage of GDP (%)","CPV","Cabo Verde","2019","2019",0.32915,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","FIN","Finland","2019","2019",1.40847,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","SEN","Senegal","2019","2019",0.07466,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","BTN","Bhutan","2019","2019",0.00542,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","MYS","Malaysia","2019","2019",1.51623,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","MUS","Mauritius","2019","2019",0.05781,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","CRI","Costa Rica","2019","2019",0.27697,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","FJI","Fiji","2019","2019",1.61088,,
"XGDP_3_FSGOV","Government expenditure on upper secondary education as a percentage of GDP (%)","USA","United States of America","2019","2019",0.87546,,
"XGDP_2T4_V_FSGOV","Government expenditure on secondary and post-secondary non-tertiary vocational education as a percentage of GDP (%)","SGP","Singapore","2019","2019",0.09531,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","BEL","Belgium","2019","2019",1.53186,,
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","LTU","Lithuania","2019","2019",0.1032,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","MRT","Mauritania","2019","2019",0.48145,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","GBR","United Kingdom of Great Britain and Northern Ireland","2019","2019",1.44213,,
"XGDP_2_FSGOV","Government expenditure on lower secondary education as a percentage of GDP (%)","NPL","Nepal","2019","2019",0.77818,,
"XGDP_2_FSGOV","Government expenditure on lower secondary education as a percentage of GDP (%)","HUN","Hungary","2019","2019",0.74084,,
"XGDP_3_FSGOV","Government expenditure on upper secondary education as a percentage of GDP (%)","UKR","Ukraine","2019","2019",0.41927,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","BGD","Bangladesh","2019","2019",0.71297,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","EST","Estonia","2019","2019",1.59457,,
"XGDP_3_FSGOV","Government expenditure on upper secondary education as a percentage of GDP (%)","CAN","Canada","2019","2019",1.22483,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","SWE","Sweden","2019","2019",1.11929,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","MCO","Monaco","2019","2019",0.06011,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","DNK","Denmark","2019","2019",0.43819,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","NLD","Netherlands","2019","2019",1.15116,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","LCA","Saint Lucia","2019","2019",1.31059,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","HKG","China, Hong Kong Special Administrative Region","2019","2019",1.039,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","CHE","Switzerland","2019","2019",1.4974,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","SWZ","Eswatini","2019","2019",2.10909,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","DMA","Dominica","2019","2019",0.20562,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","VGB","British Virgin Islands","2019","2019",0.96461,,
"XGDP_2T4_V_FSGOV","Government expenditure on secondary and post-secondary non-tertiary vocational education as a percentage of GDP (%)","AUT","Austria","2019","2019",0.61259,,
"XGDP_2_FSGOV","Government expenditure on lower secondary education as a percentage of GDP (%)","IRN","Iran (Islamic Republic of)","2019","2019",0.62015,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","ISL","Iceland","2019","2019",0.90662,,
"XGDP_3_FSGOV","Government expenditure on upper secondary education as a percentage of GDP (%)","GRC","Greece","2019","2019",0.62281,,
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","JAM","Jamaica","2019","2019",0.23462,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","PRT","Portugal","2019","2019",0.78684,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","BMU","Bermuda","2019","2019",0.60539,,
"XGDP_2T4_V_FSGOV","Government expenditure on secondary and post-secondary non-tertiary vocational education as a percentage of GDP (%)","CYP","Cyprus","2019","2019",0.28126,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","GEO","Georgia","2019","2019",0.33262,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","ESP","Spain","2019","2019",1.58289,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","BGR","Bulgaria","2019","2019",0.83422,,
"XGDP_2_FSGOV","Government expenditure on lower secondary education as a percentage of GDP (%)","KAZ","Kazakhstan","2019","2019",1.72814,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","BLZ","Belize","2019","2019",0.59039,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","MDA","Republic of Moldova","2019","2019",2.11448,,
"XGDP_3_FSGOV","Government expenditure on upper secondary education as a percentage of GDP (%)","SLV","El Salvador","2019","2019",0.36332,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","SVN","Slovenia","2019","2019",1.66451,,
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","SEN","Senegal","2019","2019",0.01843,,
"XGDP_2_FSGOV","Government expenditure on lower secondary education as a percentage of GDP (%)","SWE","Sweden","2019","2019",0.90306,,
"XGDP_2_FSGOV","Government expenditure on lower secondary education as a percentage of GDP (%)","BMU","Bermuda","2019","2019",0.23694,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","GRC","Greece","2019","2019",1.30232,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","MSR","Montserrat","2019","2019",1.99905,,
"XGDP_3_FSGOV","Government expenditure on upper secondary education as a percentage of GDP (%)","EST","Estonia","2019","2019",0.61395,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","ECU","Ecuador","2019","2019",0.72345,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","CMR","Cameroon","2019","2019",0.06506,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","ARE","United Arab Emirates","2019","2019",1.20349,,
"XGDP_2_FSGOV","Government expenditure on lower secondary education as a percentage of GDP (%)","BEL","Belgium","2019","2019",0.87086,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","DMA","Dominica","2019","2019",,"n","Magnitude nil or negligible"
"XGDP_3_FSGOV","Government expenditure on upper secondary education as a percentage of GDP (%)","NOR","Norway","2019","2019",1.3767,,
"XGDP_2T4_V_FSGOV","Government expenditure on secondary and post-secondary non-tertiary vocational education as a percentage of GDP (%)","MLT","Malta","2019","2019",0.23764,,
"XGDP_2T4_V_FSGOV","Government expenditure on secondary and post-secondary non-tertiary vocational education as a percentage of GDP (%)","NLD","Netherlands","2019","2019",1.07558,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","ROU","Romania","2019","2019",0.81017,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","ITA","Italy","2019","2019",1.81084,,
"XGDP_2_FSGOV","Government expenditure on lower secondary education as a percentage of GDP (%)","NZL","New Zealand","2019","2019",0.8771,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","SLV","El Salvador","2019","2019",1.58188,,
"XGDP_3_FSGOV","Government expenditure on upper secondary education as a percentage of GDP (%)","JAM","Jamaica","2019","2019",0.74876,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","KOR","Republic of Korea","2019","2019",1.55954,,
"XGDP_3_FSGOV","Government expenditure on upper secondary education as a percentage of GDP (%)","GTM","Guatemala","2019","2019",0.11164,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","PAK","Pakistan","2019","2019",0.64005,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","LVA","Latvia","2019","2019",0.8235,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","FRA","France","2019","2019",2.28051,,
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","BLZ","Belize","2019","2019",,"a","Category not applicable"
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","ARG","Argentina","2019","2019",1.40554,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","IND","India","2019","2019",0.09188,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","CYP","Cyprus","2019","2019",1.84416,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","ISR","Israel","2019","2019",0.84887,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","KAZ","Kazakhstan","2019","2019",0.31061,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","PHL","Philippines","2019","2019",1.05957,,
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","MEX","Mexico","2019","2019",,"a","Category not applicable"
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","CHL","Chile","2019","2019",0.76421,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","AUT","Austria","2019","2019",1.9696,,
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","MLI","Mali","2019","2019",0.01459,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","SWE","Sweden","2019","2019",1.78114,,
"XGDP_3_FSGOV","Government expenditure on upper secondary education as a percentage of GDP (%)","FIN","Finland","2019","2019",1.2483,,
"XGDP_2_FSGOV","Government expenditure on lower secondary education as a percentage of GDP (%)","ITA","Italy","2019","2019",0.68574,,
"XGDP_2T4_V_FSGOV","Government expenditure on secondary and post-secondary non-tertiary vocational education as a percentage of GDP (%)","PER","Peru","2019","2019",0.00531,,
"XGDP_2_FSGOV","Government expenditure on lower secondary education as a percentage of GDP (%)","MMR","Myanmar","2019","2019",0.41467,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","POL","Poland","2019","2019",1.55339,,
"XGDP_2_FSGOV","Government expenditure on lower secondary education as a percentage of GDP (%)","URY","Uruguay","2019","2019",0.77139,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","TCA","Turks and Caicos Islands","2019","2019",0.87667,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","SLE","Sierra Leone","2019","2019",,"n","Magnitude nil or negligible"
"XGDP_2_FSGOV","Government expenditure on lower secondary education as a percentage of GDP (%)","DMA","Dominica","2019","2019",0.88897,,
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","LKA","Sri Lanka","2019","2019",0.07844,,
"XGDP_3_FSGOV","Government expenditure on upper secondary education as a percentage of GDP (%)","CHE","Switzerland","2019","2019",0.81802,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","IRN","Iran (Islamic Republic of)","2019","2019",1.14355,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","DNK","Denmark","2019","2019",2.40691,,
"XGDP_3_FSGOV","Government expenditure on upper secondary education as a percentage of GDP (%)","GMB","Gambia","2019","2019",0.3098,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","MLT","Malta","2019","2019",0.98598,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","BEL","Belgium","2019","2019",0.68032,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","CHN","China","2019","2019",1.3092,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","LVA","Latvia","2019","2019",0.81532,,
"XGDP_2_FSGOV","Government expenditure on lower secondary education as a percentage of GDP (%)","ROU","Romania","2019","2019",0.75822,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","GBR","United Kingdom of Great Britain and Northern Ireland","2019","2019",0.2184,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","NZL","New Zealand","2019","2019",1.45304,,
"XGDP_3_FSGOV","Government expenditure on upper secondary education as a percentage of GDP (%)","DOM","Dominican Republic","2019","2019",0.59473,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","DEU","Germany","2019","2019",0.55202,,
"XGDP_2T4_V_FSGOV","Government expenditure on secondary and post-secondary non-tertiary vocational education as a percentage of GDP (%)","CIV","Côte d'Ivoire","2019","2019",0.2133,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","MDV","Maldives","2019","2019",0.56093,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","PRT","Portugal","2019","2019",0.35296,,
"XGDP_2_FSGOV","Government expenditure on lower secondary education as a percentage of GDP (%)","PHL","Philippines","2019","2019",0.77659,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","BLZ","Belize","2019","2019",0.27943,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","USA","United States of America","2019","2019",1.53913,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","SMR","San Marino","2019","2019",0.45003,,
"XGDP_3_FSGOV","Government expenditure on upper secondary education as a percentage of GDP (%)","MLI","Mali","2019","2019",0.77088,,
